name,year,miles,color,condition,price
Mercedes-Benz C-Class,2015,"78,923 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$16,999"
Jeep Grand Cherokee WK,2021,"64,314 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,744"
BMW i3,2016,"62,200 miles","White exterior, Gray interior","No accidents reported, 3 Owners","$12,999"
Volkswagen Atlas,2018,"68,069 miles","Silver exterior, Black interior","No accidents reported, 4 Owners","$21,998"
Kia K5,2022,"35,452 miles","White exterior, Black interior","No accidents reported, 1 Owner","$23,000"
BMW X5,2021,"25,347 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$42,999"
Audi Q5,2021,"23,982 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,949"
Ford F-150,2022,"12,958 miles","Blue exterior, Black interior","No accidents reported, 0 Owners","$44,598"
Chevrolet Express Cargo Van,2017,"128,705 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$17,500"
Toyota Camry,2020,"64,716 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,700"
Toyota Corolla,2021,"53,960 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$21,350"
Mazda CX-5,2021,"43,421 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$21,837"
BMW X5,2021,"40,003 miles","Gray exterior, Brown interior","1 accident reported, 1 Owner","$36,996"
Volkswagen Jetta,2021,"61,784 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$17,851"
Mercedes-Benz GLA,2021,"14,653 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$24,999"
Kia Forte,2020,"45,583 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,988"
Mercedes-Benz GLB,2020,"31,656 miles","Unknown exterior, Black interior","No accidents reported, 1 Owner","$27,990"
Volvo S60,2017,"101,389 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$14,998"
Toyota RAV4,2021,"33,118 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$28,194"
Kia Forte,2021,"34,669 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,361"
Ram 1500,2015,"100,521 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$22,998"
Chevrolet Cruze,2018,"70,218 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$13,200"
Mercedes-Benz E-Class,2021,"16,386 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$35,756"
Ram 1500 Classic,2020,"38,374 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$26,998"
Subaru Outback,2020,"40,394 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$26,828"
Volkswagen Tiguan,2019,"47,154 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$19,998"
Jeep Gladiator,2022,"32,956 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$35,998"
Honda Civic,2017,"79,022 miles","Red exterior, Black interior","3 accidents reported, 2 Owners","$19,998"
Volkswagen Atlas,2019,"36,108 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$23,987"
Mercedes-Benz CLA,2023,"7,023 miles","White exterior, Black interior","No accidents reported, 1 Owner","$37,777"
Dodge Ram 1500,2006,"143,127 miles","Unknown exterior, Unknown interior","No accidents reported, 3 Owners","$9,895"
Honda Civic,2021,"22,850 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,998"
BMW 3 Series,2021,"48,625 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$38,999"
BMW 5 Series,2023,"9,109 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$45,498"
GMC Yukon,2011,"157,099 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$9,999"
Chevrolet Tahoe,2020,"19,394 miles","Blue exterior, Black interior","No accidents reported, 2 Owners","$48,998"
Subaru Forester,2015,"13,366 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$18,100"
Kia Sportage,2021,"20,863 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$18,441"
Toyota Sienna,2015,"113,479 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Volkswagen Jetta,2014,"35,687 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$14,998"
Chevrolet Silverado 1500,2021,"23,211 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$35,498"
Ford Explorer,2020,"44,280 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$25,606"
Toyota Corolla,2022,"32,604 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,599"
Honda Odyssey,2014,"77,259 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$21,998"
Ford Super Duty F-350,2019,"59,269 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$38,998"
Kia Optima,2018,"59,244 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$12,900"
Kia Optima,2014,"123,058 miles","Black exterior, Gray interior","3 accidents reported, 3 Owners","$6,995"
Kia Forte,2015,"67,246 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$9,990"
Volvo V60,2020,"45,016 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$32,598"
Honda CR-V,2013,"76,825 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$16,998"
Subaru Forester,2020,"30,962 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$24,998"
Mercedes-Benz A-Class,2019,"29,934 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$25,899"
Honda Odyssey,2015,"124,418 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$18,998"
Mercedes-Benz C-Class,2019,"32,777 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$29,500"
Nissan Sentra,2020,"27,094 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,591"
BMW X1,2021,"37,595 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$23,997"
Honda Civic,2022,"24,646 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$23,995"
BMW X5,2020,"43,907 miles","Gray exterior, Brown interior","No accidents reported, 1 Owner","$33,994"
Mercedes-Benz GLC,2021,"11,858 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$31,933"
Volkswagen Tiguan,2020,"52,955 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Ford Explorer,2002,"158,000 miles","Black exterior, Unknown interior","No accidents reported, 3 Owners","$4,400"
BMW X5,2016,"56,564 miles","White exterior, Black interior","1 accident reported, 3 Owners","$26,998"
Subaru Ascent,2022,"17,828 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$34,888"
Hyundai Elantra,2020,"41,417 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Subaru Forester,2021,"17,357 miles","Black exterior, Brown interior","No accidents reported, 1 Owner","$28,299"
Jeep Wrangler,2022,"17,313 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$39,566"
BMW X5,2015,"134,985 miles","Unknown exterior, Unknown interior","2 accidents reported, 2 Owners","$14,995"
Mercedes-Benz C-Class,2020,"30,791 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$24,791"
Mercedes-Benz C-Class,2023,"10,109 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$39,776"
Mazda Mazda3,2018,"67,973 miles","Red exterior, Black interior","1 accident reported, 2 Owners","$17,998"
Mercedes-Benz C-Class,2016,"77,738 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$21,987"
Toyota Camry,2020,"35,563 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,998"
Alfa Romeo Stelvio,2022,25 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$34,751"
Hyundai Elantra,2018,"40,223 miles","Silver exterior, Gray interior","No accidents reported, 3 Owners","$12,999"
Land Rover Range Rover Sport,2020,"27,983 miles","White exterior, Black interior","No accidents reported, 2 Owners","$50,888"
Acura MDX,2017,"113,292 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Mercedes-Benz GLA,2021,"26,991 miles","White exterior, Black interior","1 accident reported, 1 Owner","$29,649"
Audi A3,2023,"2,195 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Kia K5,2021,"34,764 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,998"
Nissan Altima,2020,"23,493 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Audi A5,2018,"50,180 miles","White exterior, Brown interior","1 accident reported, 2 Owners","$28,333"
Land Rover Discovery Sport,2016,"117,120 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$15,995"
Jeep Wrangler,2018,"33,724 miles","White exterior, Black interior","No accidents reported, 3 Owners","$31,998"
Volkswagen Beetle,2013,"87,335 miles","White exterior, Black interior","No accidents reported, 1 Owner","$9,990"
Mercedes-Benz G-Class,2014,"92,498 miles","Black exterior, Gray interior","2 accidents reported, 4 Owners","$62,999"
Hyundai Elantra,2016,"104,746 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$12,599"
Volkswagen Atlas,2019,"83,063 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$17,963"
Subaru Crosstrek,2021,"28,147 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$26,009"
GMC Sierra 1500,2017,"79,434 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$26,987"
Porsche Macan,2023,"6,882 miles","White exterior, Black interior","No accidents reported, 1 Owner","$53,983"
Mercedes-Benz GLB,2020,"24,121 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$27,179"
Land Rover Range Rover Velar,2020,"49,726 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$33,851"
Toyota RAV4,2021,"36,489 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$28,994"
Ford Escape,2017,"66,095 miles","White exterior, Black interior","No accidents reported, 2 Owners","$13,009"
Toyota Tacoma,2019,"119,342 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$20,999"
Volkswagen Tiguan,2020,"26,130 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$22,998"
Nissan Altima,2022,"29,182 miles","Gray exterior, Black interior","1 accident reported, 2 Owners","$19,998"
Toyota Highlander,2021,"57,404 miles","Blue exterior, Red interior","No accidents reported, 1 Owner","$32,555"
Ford Explorer,2021,"20,357 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$31,998"
Mercedes-Benz CLA,2020,"37,974 miles","Silver exterior, Beige interior","1 accident reported, 1 Owner","$26,374"
Lincoln MKC,2018,"32,702 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$20,495"
Subaru Outback,2024,"6,202 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$34,800"
Lexus RX,2011,"95,016 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$15,049"
Honda Civic,2021,"41,190 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$21,999"
Nissan NV200 Compact Cargo,2015,"110,993 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$11,998"
Toyota RAV4,2019,"55,205 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$25,035"
Ford Fusion,2018,"67,207 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$16,998"
Mercedes-Benz GLE,2022,"10,504 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$95,295"
BMW X6,2023,"8,885 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$81,999"
Chrysler Town & Country,2014,"146,896 miles","Gray exterior, Black interior","No accidents reported, 5 Owners","$5,495"
Toyota Mirai,2019,"71,373 miles","Silver exterior, Blue interior","No accidents reported, 3 Owners","$8,998"
Toyota RAV4,2018,"29,341 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$21,488"
Jeep Compass,2018,"68,250 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$13,499"
Ford Super Duty F-550 Chassis Cab,2019,"72,649 miles","White exterior, Black interior","No accidents reported, 1 Owner","$41,998"
Chevrolet Equinox,2013,"109,837 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$8,995"
Kia Optima,2014,"78,962 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$12,495"
Audi Q7,2020,"61,605 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$28,918"
Audi A3,2023,"2,110 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$32,995"
Chevrolet Volt,2013,"102,479 miles","Silver exterior, Black interior","No accidents reported, 5 Owners","$12,599"
Ford Explorer,2020,"28,941 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$28,998"
BMW X3,2013,"119,424 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$10,000"
Jeep Wrangler,2018,"57,849 miles","White exterior, Black interior","1 accident reported, 1 Owner","$31,998"
Chevrolet Silverado 1500,2014,"133,384 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$16,650"
Ford F-150,2019,"104,905 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$15,999"
Chevrolet Corvette,2014,"42,423 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$41,998"
Honda Civic,2017,"94,751 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$16,998"
Porsche Macan,2023,"5,183 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$54,983"
GMC Acadia,2019,"62,813 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$19,500"
Hyundai Sonata,2015,"96,880 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$13,998"
Kia Optima,2016,"103,378 miles","Purple exterior, Beige interior","No accidents reported, 4 Owners","$8,400"
Kia Forte,2021,"39,379 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,998"
Nissan Altima,2020,"40,274 miles","White exterior, Black interior","No accidents reported, 1 Owner","$17,991"
Jeep Compass,2014,"139,011 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$6,995"
Nissan Sentra,2020,"28,711 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$19,998"
Subaru Crosstrek,2021,"34,129 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$24,499"
Mercedes-Benz GLC,2019,"39,358 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$26,986"
Porsche Cayman,2007,"102,373 miles","Silver exterior, Black interior","No accidents reported, 4 Owners","$16,981"
Nissan Pathfinder,2017,"103,260 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$10,995"
Toyota Camry,2023,"19,140 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$24,575"
Chevrolet Trax,2020,"21,421 miles","White exterior, Black interior","1 accident reported, 2 Owners","$19,998"
